timestamp,method,endpoint,status_code,user_id
2023-01-07 06:12:00,GET,/logout,502,user_4
2023-01-05 18:03:00,DELETE,/cart,502,user_10
2023-01-01 17:01:00,PUT,/checkout,400,user_3
2023-01-06 13:10:00,POST,/checkout,201,user_10
2023-01-01 22:16:00,DELETE,/login,502,user_5
2023-01-03 05:36:00,GET,/login,400,user_8
2023-01-03 19:18:00,POST,/home,500,user_1
2023-01-07 07:08:00,POST,/home,403,user_6
2023-01-03 15:07:00,PUT,/home,500,user_3
2023-01-04 15:29:00,DELETE,/products,400,user_10
2023-01-07 15:59:00,POST,/products,500,user_3
2023-01-07 23:59:00,POST,/checkout,403,user_7
2023-01-07 08:33:00,DELETE,/checkout,201,user_1
2023-01-04 14:22:00,DELETE,/logout,200,user_6
2023-01-02 05:20:00,GET,/products,403,user_10
2023-01-08 06:18:00,POST,/products,200,user_9
2023-01-06 11:37:00,PUT,/logout,404,user_4
2023-01-04 18:42:00,POST,/checkout,401,user_8
2023-01-02 02:56:00,DELETE,/products,500,user_8
2023-01-02 07:42:00,GET,/login,502,user_6
2023-01-04 01:25:00,POST,/logout,201,user_10
2023-01-02 22:49:00,PUT,/checkout,400,user_6
2023-01-03 07:29:00,GET,/login,404,user_7
2023-01-06 18:23:00,DELETE,/cart,500,user_1
2023-01-02 20:29:00,POST,/logout,400,user_1
2023-01-02 09:54:00,PUT,/logout,201,user_5
2023-01-03 23:49:00,POST,/products,500,user_9
2023-01-02 22:26:00,POST,/checkout,404,user_3
2023-01-05 07:02:00,PUT,/checkout,401,user_4
2023-01-02 08:53:00,POST,/home,502,user_3
2023-01-06 08:02:00,PUT,/cart,201,user_6
2023-01-04 21:56:00,PUT,/cart,500,user_9
2023-01-01 08:00:00,GET,/cart,403,user_4
2023-01-02 20:39:00,PUT,/cart,404,user_1
2023-01-05 01:22:00,DELETE,/logout,500,user_2
2023-01-05 09:49:00,GET,/login,404,user_1
2023-01-01 09:27:00,GET,/login,200,user_8
2023-01-07 02:13:00,PUT,/checkout,400,user_6
2023-01-01 21:36:00,POST,/logout,200,user_2
2023-01-06 20:57:00,PUT,/home,200,user_5
2023-01-01 20:57:00,POST,/checkout,201,user_3
2023-01-03 13:46:00,PUT,/login,400,user_1
2023-01-01 23:58:00,POST,/home,502,user_7
2023-01-05 20:27:00,DELETE,/checkout,400,user_1
2023-01-01 23:00:00,POST,/cart,404,user_2
2023-01-05 05:22:00,GET,/login,400,user_2
2023-01-02 23:44:00,PUT,/home,404,user_5
2023-01-03 17:08:00,PUT,/login,500,user_1
2023-01-07 12:30:00,DELETE,/checkout,201,user_1
2023-01-07 17:28:00,DELETE,/login,401,user_4
